run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
295,downside,42,840644.302783,2395173.246380,0.748492
296,downside,42,911581.014398,2753439.466656,0.860450
297,downside,42,858482.807687,2485266.705492,0.776646
298,downside,42,699753.838528,1683605.245093,0.526127
299,downside,42,936244.071416,2878000.360689,0.899375
300,downside,42,822614.577075,2304114.025629,0.720036
301,downside,42,799294.772506,2186337.234880,0.683230
302,downside,42,753127.082280,1953167.082220,0.610365
303,downside,42,713747.062915,1754278.095529,0.548212
304,downside,42,946238.029275,2928474.895327,0.915148
305,downside,42,902398.195353,2707061.592694,0.845957
306,downside,42,893047.883131,2659837.793592,0.831199
307,downside,42,854447.840557,2464888.083621,0.770278
308,downside,42,959422.587586,2995063.573668,0.935957
309,downside,42,755657.969991,1965949.343391,0.614359
310,downside,42,847170.930262,2428136.011426,0.758793
311,downside,42,686685.440150,1617603.233081,0.505501
312,downside,42,838434.421839,2384012.231509,0.745004
313,downside,42,726483.227759,1818602.160399,0.568313
314,downside,42,903671.105192,2713490.430265,0.847966
315,downside,42,699141.359450,1680511.916416,0.525160
316,downside,42,834273.348919,2362996.711711,0.738436
317,downside,42,781237.552863,2095139.155872,0.654731
318,downside,42,907260.139138,2731616.864331,0.853630
319,downside,42,937289.798879,2883281.812523,0.901026
320,downside,42,959423.278545,2995067.063357,0.935958
321,downside,42,771808.467898,2047517.514636,0.639849
322,downside,42,847273.296293,2428653.011582,0.758954
323,downside,42,818013.867740,2280878.119897,0.712774
324,downside,42,959938.850233,2997670.960771,0.936772
325,downside,42,778933.134711,2083500.680356,0.651094
326,downside,42,762198.089808,1998980.251554,0.624681
327,downside,42,844818.809765,2416256.614975,0.755080
328,downside,42,765094.513033,2013608.651679,0.629253
329,downside,42,808031.840402,2230463.840413,0.697020
330,downside,42,944407.391803,2919229.251528,0.912259
331,downside,42,962118.081447,3008677.179026,0.940212
332,downside,42,903329.909359,2711767.218983,0.847427
333,downside,42,646578.843646,1415044.664876,0.442201
334,downside,42,885410.641575,2621265.866540,0.819146
335,downside,42,877666.256171,2582152.808942,0.806923
336,downside,42,754530.989775,1960257.524118,0.612580
337,downside,42,789615.611191,2137452.581775,0.667954
338,downside,42,762385.921127,1999928.894582,0.624978
339,downside,42,784897.543191,2113623.955509,0.660507
340,downside,42,669734.466932,1531992.257233,0.478748
341,downside,42,853893.735637,2462089.573922,0.769403
342,downside,42,882564.268054,2606890.242699,0.814653
343,downside,42,598661.678539,1173038.780500,0.366575
344,downside,42,889725.563338,2643058.400696,0.825956
345,downside,42,823358.019744,2307868.786584,0.721209
346,downside,42,707948.861566,1724994.250333,0.539061
347,downside,42,886145.381510,2624976.674295,0.820305
348,downside,42,965916.351392,3027860.360567,0.946206
349,downside,42,941120.394157,2902628.253320,0.907071
350,downside,42,767317.564563,2024836.184663,0.632761
351,downside,42,818505.782626,2283362.538515,0.713551
352,downside,42,958815.154368,2991995.729129,0.934999
353,downside,42,789412.193554,2136425.219971,0.667633
354,downside,42,818423.800142,2282948.485567,0.713421
355,downside,42,703925.671150,1704675.106816,0.532711
356,downside,42,882968.977002,2608934.227282,0.815292
357,downside,42,855822.701199,2471831.824235,0.772447
358,downside,42,717631.451538,1773896.219889,0.554343
359,downside,42,828347.110121,2333066.212734,0.729083
360,downside,42,630261.507023,1332633.873855,0.416448
361,downside,42,690049.537697,1634593.624733,0.510811
362,downside,42,885600.679403,2622225.653551,0.819446
363,downside,42,948052.674064,2937639.767999,0.918012
364,downside,42,954858.262403,2972011.426280,0.928754
365,downside,42,706894.701375,1719670.208964,0.537397
366,downside,42,904742.494706,2718901.488412,0.849657
367,downside,42,709721.573589,1733947.341356,0.541859
368,downside,42,762200.432938,1998992.085544,0.624685
369,downside,42,907840.339964,2734547.171537,0.854546
370,downside,42,677249.470487,1569946.820641,0.490608
371,downside,42,966887.708570,3032766.204899,0.947739
372,downside,42,829280.050513,2337778.032895,0.730556
373,downside,42,829897.093734,2340894.412799,0.731530
374,downside,42,764315.471984,2009674.100927,0.628023
375,downside,42,913916.811671,2765236.422581,0.864136
376,downside,42,909216.218035,2741496.050681,0.856718
377,downside,42,848386.188849,2434273.681055,0.760711
378,downside,42,772972.449094,2053396.207546,0.641686
379,downside,42,849956.176541,2442202.911822,0.763188
380,downside,42,818815.157899,2284925.039893,0.714039
381,downside,42,778694.021470,2082293.037726,0.650717
382,downside,42,763328.125063,2004687.500319,0.626465
383,downside,42,686580.430588,1617072.881760,0.505335
384,downside,42,892909.234487,2659137.547912,0.830980
385,downside,42,728396.689509,1828266.108634,0.571333
386,downside,42,818684.977027,2284267.560740,0.713834
