run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
254,base,42,953255.109836,2932886.341918,0.916527
255,base,42,856023.636792,2377277.924526,0.742899
256,base,42,988253.956459,3132879.751197,0.979025
257,base,42,947425.018155,2899571.532315,0.906116
258,base,42,860278.130244,2401589.315680,0.750497
259,base,42,859216.348420,2395521.990971,0.748601
260,base,42,765214.341668,1858367.666674,0.580740
261,base,42,890088.869937,2571936.399638,0.803730
262,base,42,860861.955721,2404925.461264,0.751539
263,base,42,953706.558844,2935466.050536,0.917333
264,base,42,900136.951456,2629354.008318,0.821673
265,base,42,979243.676233,3081392.435619,0.962935
266,base,42,950866.026950,2919234.439713,0.912261
267,base,42,913915.774290,2708090.138799,0.846278
268,base,42,981473.118177,3094132.103870,0.966916
269,base,42,840759.133231,2290052.189891,0.715641
270,base,42,913531.347311,2705893.413205,0.845592
271,base,42,940929.052385,2862451.727912,0.894516
272,base,42,951840.836505,2924804.780029,0.914001
273,base,42,951967.752923,2925530.016704,0.914228
274,base,42,983045.878238,3103119.304219,0.969725
275,base,42,895253.444464,2601448.254079,0.812953
276,base,42,954515.717822,2940089.816125,0.918778
277,base,42,943218.243936,2875532.822493,0.898604
278,base,42,799378.188289,2053589.647365,0.641747
279,base,42,945825.304011,2890430.308633,0.903259
280,base,42,956888.716538,2953649.808789,0.923016
281,base,42,767605.563943,1872031.793961,0.585010
282,base,42,980811.468536,3090351.248778,0.965735
283,base,42,859350.418504,2396288.105736,0.748840
284,base,42,947615.494819,2900659.970392,0.906456
285,base,42,764877.201947,1856441.153983,0.580138
286,base,42,993079.737221,3160455.641262,0.987642
287,base,42,938989.569622,2851368.969267,0.891053
288,base,42,957793.398806,2958819.421751,0.924631
289,base,42,978355.980196,3076319.886833,0.961350
290,base,42,893040.151766,2588800.867234,0.809000
291,base,42,990597.800269,3146273.144395,0.983210
292,base,42,894909.416317,2599482.378957,0.812338
293,base,42,944811.756949,2884638.611137,0.901450
294,base,42,860496.090827,2402834.804723,0.750886
295,base,42,989972.649450,3142700.854002,0.982094
296,base,42,838724.205212,2278424.029784,0.712008
297,base,42,954110.968974,2937776.965565,0.918055
298,base,42,889564.693095,2568941.103403,0.802794
299,base,42,952915.657560,2930946.614630,0.915921
300,base,42,996238.277442,3178504.442528,0.993283
301,base,42,816225.349877,2149859.142157,0.671831
302,base,42,885437.737263,2545358.498646,0.795425
303,base,42,907682.965206,2672474.086892,0.835148
304,base,42,897167.114297,2612383.510268,0.816370
305,base,42,950917.124338,2919526.424786,0.912352
306,base,42,989970.756704,3142690.038306,0.982091
307,base,42,994092.018078,3166240.103304,0.989450
308,base,42,823797.215552,2193126.946009,0.685352
309,base,42,898600.992504,2620577.100021,0.818930
310,base,42,989737.490216,3141357.086946,0.981674
311,base,42,995469.494779,3174111.398738,0.991910
312,base,42,958161.437320,2960922.498969,0.925288
313,base,42,850613.732709,2346364.186907,0.733239
314,base,42,850045.356282,2343116.321609,0.732224
315,base,42,853571.614850,2363266.370573,0.738521
316,base,42,983148.181834,3103703.896194,0.969907
317,base,42,985940.882258,3119662.184330,0.974894
318,base,42,952093.414817,2926248.084669,0.914453
319,base,42,868669.602807,2449540.587469,0.765481
320,base,42,972527.852605,3043016.300598,0.950943
321,base,42,942475.406449,2871288.036853,0.897278
322,base,42,912757.986872,2701474.210698,0.844211
323,base,42,904520.154907,2654400.885185,0.829500
324,base,42,953303.001133,2933160.006476,0.916613
325,base,42,871001.530234,2462865.887050,0.769646
326,base,42,789526.179759,1997292.455767,0.624154
327,base,42,917509.382067,2728625.040382,0.852695
328,base,42,939509.584852,2854340.484868,0.891981
329,base,42,864148.414793,2423705.227388,0.757408
330,base,42,980197.932000,3086845.325713,0.964639
331,base,42,992890.026299,3159371.578853,0.987304
332,base,42,954657.815163,2940901.800933,0.919032
333,base,42,979892.543847,3085100.250552,0.964094
334,base,42,898845.077923,2621971.873848,0.819366
335,base,42,936743.252897,2838532.873699,0.887042
336,base,42,992625.057800,3157857.473145,0.986830
337,base,42,991402.391059,3150870.806053,0.984647
338,base,42,947286.596468,2898780.551245,0.905869
339,base,42,822053.635785,2183163.633055,0.682239
340,base,42,948836.499348,2907637.139131,0.908637
341,base,42,980540.152145,3088800.869398,0.965250
342,base,42,954880.403890,2942173.736516,0.919429
343,base,42,956504.022983,2951451.559903,0.922329
344,base,42,949550.370585,2911716.403341,0.909911
345,base,42,954665.247950,2940944.274001,0.919045
346,base,42,804514.027434,2082937.299623,0.650918
347,base,42,941428.688298,2865306.790272,0.895408
348,base,42,984256.171895,3110035.267970,0.971886
349,base,42,988133.760810,3132192.918914,0.978810
350,base,42,956415.750761,2950947.147206,0.922171
351,base,42,947715.477165,2901231.298087,0.906635
352,base,42,897537.330443,2614499.031102,0.817031
353,base,42,994149.706795,3166569.753112,0.989553
354,base,42,812289.150276,2127366.573003,0.664802
355,base,42,982779.713615,3101598.363516,0.969249
356,base,42,951432.522137,2922471.555069,0.913272
357,base,42,943642.951422,2877959.722410,0.899362
358,base,42,980603.252189,3089161.441081,0.965363
359,base,42,992685.867391,3158204.956522,0.986939
360,base,42,955929.204037,2948166.880209,0.921302
361,base,42,946696.302123,2895407.440703,0.904815
362,base,42,980904.362827,3090882.073300,0.965901
363,base,42,983649.481433,3106568.465333,0.970803
364,base,42,954180.187513,2938172.500072,0.918179
365,base,42,953911.697016,2936638.268661,0.917699
366,base,42,816872.296897,2153555.982266,0.672986
367,base,42,991502.084899,3151440.485136,0.984825
368,base,42,945645.459746,2889402.627121,0.902938
369,base,42,829483.357024,2225619.182992,0.695506
370,base,42,937709.891548,2844056.523131,0.888768
371,base,42,941666.770365,2866667.259227,0.895834
372,base,42,858899.231740,2393709.895658,0.748034
373,base,42,828808.504816,2221762.884666,0.694301
374,base,42,893138.493172,2589362.818125,0.809176
375,base,42,944772.441464,2884413.951221,0.901379
376,base,42,945423.231641,2888132.752234,0.902541
377,base,42,894626.121225,2597863.549859,0.811832
378,base,42,918421.030098,2733834.457704,0.854323
379,base,42,973536.965363,3048782.659214,0.952745
380,base,42,947350.927728,2899148.158444,0.905984
381,base,42,887892.703382,2559386.876468,0.799808
382,base,42,941890.356651,2867944.895146,0.896233
383,base,42,850296.666690,2344552.381086,0.732673
384,base,42,910405.710373,2688032.630705,0.840010
385,base,42,987557.414963,3128899.514077,0.977781
386,base,42,964207.790217,2995473.086955,0.936085
387,base,42,900985.119008,2634200.680044,0.823188
388,base,42,983405.664502,3105175.225724,0.970367
389,base,42,951214.959423,2921228.339558,0.912884
390,base,42,859700.350528,2398287.717302,0.749465
391,base,42,993436.979318,3162497.024672,0.988280
392,base,42,991733.427693,3152762.443963,0.985238
393,base,42,917055.889301,2726033.653148,0.851886
394,base,42,947180.321545,2898173.265972,0.905679
395,base,42,999804.574655,3198883.283740,0.999651
396,base,42,951609.132005,2923480.754313,0.913588
397,base,42,965682.387462,3003899.356927,0.938719
398,base,42,856756.615383,2381466.373616,0.744208
399,base,42,895125.833110,2600719.046343,0.812725
400,base,42,975616.291860,3060664.524913,0.956458
401,base,42,688764.335580,1421510.489027,0.444222
402,base,42,1000773.369508,3204419.254329,1.001381
403,base,42,900849.631697,2633426.466842,0.822946
404,base,42,859430.790652,2396747.375155,0.748984
405,base,42,910011.866747,2685782.095697,0.839307
406,base,42,903099.793278,2646284.533015,0.826964
407,base,42,953448.708193,2933992.618243,0.916873
408,base,42,945779.688644,2890169.649394,0.903178
409,base,42,957395.804960,2956547.456914,0.923921
410,base,42,900006.961272,2628611.207269,0.821441
411,base,42,979196.641726,3081123.667008,0.962851
412,base,42,916771.688772,2724409.650126,0.851378
413,base,42,948773.793152,2907278.818009,0.908525
414,base,42,949324.288133,2910424.503619,0.909508
415,base,42,943649.601606,2877997.723464,0.899374
416,base,42,852751.880880,2358582.176458,0.737057
417,base,42,959221.526946,2966980.153975,0.927181
418,base,42,986478.718520,3122735.534400,0.975855
419,base,42,949935.952068,2913919.726106,0.910600
